抓取批次,候选编号,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,文档类型,质量分,入库状态,建议动作,原文链接,来源列表页
20260502_020427,CAND-B76D404D9571,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于发布广东统调电厂2021年10月并网运行考核及辅助服务补偿结果的通知 2021-12-16,2021-12-16,辅助服务,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245716.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_27.html
20260502_020427,CAND-D05BDCE691EA,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于发布广西统调电厂2021年8、9月份并网运行考核及辅助服务补偿结果的通知 2021-12-17,2021-12-17,辅助服务,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245718.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_27.html
20260502_020427,CAND-92921AD87674,SRC-P-037,省级,山西,山西省能源局-政策文件检索电力,山西省能源局,关于印发《2022年电力市场交易组织方案》的通知,2021-12-27,电力市场,HTML,54,低分候选,暂不回填,http://nyj.shanxi.gov.cn/zfxxgk/fdzdgknr/sjwj/202310/t20231019_9418371.shtml,https://nyj.shanxi.gov.cn/trs-search/trssearch/openSearch/getZwgkList?keywords=%E7%94%B5%E5%8A%9B&pageNum=1&siteId=60&chnId=&dockind=2&position=0&sort=1&suitability=0
20260502_020427,CAND-411E4D5D0F13,SRC-PR-007,省级监管,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公布2021年8月新疆电网、天中、 吉泉直流配套电源“两个细则” 考核补偿结果的通知 2021-12-31,2021-12-31,电网,HTML,54,低分候选,暂不回填,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116528.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_10.html
20260502_020427,CAND-A912FEA4912C,SRC-PR-003,省级监管,浙江,国家能源局浙江监管办公室-通知公告,国家能源局浙江监管办公室,关于发布浙江电网2022年1-3月“两个细则”运行结果的通知 2022-05-27,2022-01-03,电网,HTML,54,低分候选,暂不回填,https://zjb.nea.gov.cn/dtyw/tzgg/202309/t20230914_75881.html,https://zjb.nea.gov.cn/dtyw/tzgg/index_4.html
20260502_020427,CAND-F4D3C1307931,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于发布广西统调电厂2021年10月份并网运行考核及辅助服务补偿结果的通知 2022-01-04,2022-01-04,辅助服务,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245722.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_27.html
20260502_020427,CAND-01D571914751,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于发布广西统调电厂2022年1-6月份并网运行考核及辅助服务补偿结果的通知 2022-12-09,2022-01-06,辅助服务,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245818.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_20.html
20260502_020427,CAND-B1D9D45C03AA,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于公开征求《海南电力中长期交易规则 （征求意见稿）》意见的通知 2022-01-12,2022-01-12,交易规则;中长期,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245725.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_26.html
20260502_020427,CAND-092BF2D51CEE,SRC-R-001,区域监管,南方区域,国家能源局南方监管局-通知公示,国家能源局派出机构,关于征求《海南电力中长期交易规则 （征求意见稿）》意见的通知 2022-01-12,2022-01-12,交易规则;中长期,HTML,54,低分候选,暂不回填,https://nfj.nea.gov.cn/xwzx/tzgg/202402/t20240208_245726.html,https://nfj.nea.gov.cn/xwzx/tzgg/index_26.html
20260502_020427,CAND-E94056F3733A,SRC-PR-007,省级监管,新疆,国家能源局新疆监管办公室-通知公告,国家能源局新疆监管办公室,关于公示2021年11月新疆电网、天中、吉泉直流配套电源“两个细则”考核补偿结果的通知 2022-01-25,2022-01-25,电网,HTML,54,低分候选,暂不回填,https://xjb.nea.gov.cn/dtyw/tzgg/202309/t20230923_116534.html,https://xjb.nea.gov.cn/dtyw/tzgg/index_10.html
